date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:02	63332/63332	---M--	200	added ('OK')	image/jpeg	etag:%22f764-5c6fd068-2a883467679835d2;;;%22	https://vivaco.com/demo/startuply/assets/img/people/team-1.jpg	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/people/team-1.jpg	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:37:02	56561/56561	---M--	200	added ('OK')	image/jpeg	etag:%22dcf1-5c6fd068-f3de9daf5af52776;;;%22	https://vivaco.com/demo/startuply/assets/img/people/team-2.jpg	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/people/team-2.jpg	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:37:02	51981/51981	---M--	200	added ('OK')	image/jpeg	etag:%22cb0d-5c6fd068-a7719ad066e8309f;;;%22	https://vivaco.com/demo/startuply/assets/img/people/team-3.jpg	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/people/team-3.jpg	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:37:03	54968/54968	---M--	200	added ('OK')	image/jpeg	etag:%22d6b8-5c6fd068-99f9ce4d306bd245;;;%22	https://vivaco.com/demo/startuply/assets/img/people/team-4.jpg	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/people/team-4.jpg	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:37:03	1951/1951	---M--	200	added ('OK')	image/png	etag:%2279f-5c6fce7f-303e8393b566072e;;;%22	https://vivaco.com/demo/startuply/assets/img/logo-white.png	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/logo-white.png	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:37:04	84345/84345	---M-Z	200	added ('OK')	application/javascript	etag:%2214979-5c6fce83-fe2ad542a5f12df0;gz%22	https://vivaco.com/demo/startuply/assets/js/jquery-2.1.4.min.js?ver=1	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/js/jquery-2.1.4.min68b3.js	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:37:04	29110/29110	---M-Z	200	added ('OK')	application/javascript	etag:%2271b6-5c6fce82-b8a31807c6d29e4a;gz%22	https://vivaco.com/demo/startuply/assets/js/bootstrap.min.js	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/js/bootstrap.min.js	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:37:04	21422/21422	---M-Z	200	added ('OK')	application/javascript	etag:%2253ae-5c6fce84-66c55eba878e6db4;gz%22	https://vivaco.com/demo/startuply/assets/js/jquery.flexslider-min.js	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/js/jquery.flexslider-min.js	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:37:04	4228/4228	---M-Z	200	added ('OK')	application/javascript	etag:%221084-5c6fce83-ffe0809a3d3726a5;gz%22	https://vivaco.com/demo/startuply/assets/js/jquery.appear.js	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/js/jquery.appear.js	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:37:05	11182/11182	---M-Z	200	added ('OK')	application/javascript	etag:%222bae-5c6fce85-968f2872f16351ce;gz%22	https://vivaco.com/demo/startuply/assets/js/jquery.plugin.js	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/js/jquery.plugin.js	(from https://vivaco.com/demo/startuply/index-fast-register.html)
